时间,方向,类型,张数,价格,手续费,盈亏,原因
2025-03-24 00:14:00,空,首次开空,10,85304.10,4.2652,0.00,"✅【首次开空】 📉 当前价格: 85304.1 💰 开仓均价: 85304.1 📦 开仓数量: 10 ⏰ 时间: 2025-03-24 00:14:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1693.32 boll45缩口 1231.32  ema15 84666.19 ema30 84467.85 ema60 84361.79 ema120 84214.80 boll20-up 85256.50 boll20-down83563.18 boll45-up 84915.60 boll45-dowm83684.28 atr 114.12 , boll宽度 0.004875  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-24 00:34:00,空,空单全平,10,85044.60,4.2522,21.70,"✅【平空已执行】 💰 持仓均价: 85304.1 ✂️ 平仓价格: 85044.6 📦 平仓数量: 10.0 📝 平仓原因: 20周期布林带下轨下穿45周期布林带中轨，同时盈利大于180｜单张盈利:259.50 ⏰ 时间: 2025-03-24 00:34:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1693.32 boll45缩口 1231.32  ema15 84666.19 ema30 84467.85 ema60 84361.79 ema120 84214.80 boll20-up 85256.50 boll20-down83563.18 boll45-up 84915.60 boll45-dowm83684.28 atr 126.14 , boll宽度 0.005098  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-24 02:46:00,空,首次开空,10,85050.00,4.2525,0.00,"✅【首次开空】 📉 当前价格: 85050.0 💰 开仓均价: 85050.0 📦 开仓数量: 10 ⏰ 时间: 2025-03-24 02:46:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1729.43 boll45缩口 1362.69  ema15 84745.68 ema30 84535.06 ema60 84403.37 ema120 84240.76 boll20-up 85376.53 boll20-down83647.10 boll45-up 85012.94 boll45-dowm83650.25 atr 112.56 , boll宽度 0.007535  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-24 06:19:00,空,补仓开空,10,85671.90,4.2836,0.00,"✅【第二套补仓逻辑】 ✅【空仓加仓 第1次】 📈 当前价格: 85671.9 💰 当前均价: 85360.95 📦 加仓数量: 10 📦 总持仓量: 20.0 🔻 当前亏损比例: 0.73% ⏰ 时间: 2025-03-24 06:19:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1680.88 boll45缩口 1642.38  ema15 84929.26 ema30 84686.00 ema60 84499.69 ema120 84300.85 boll20-up 85578.63 boll20-down83897.75 boll45-up 85245.60 boll45-dowm83603.22 atr 98.57 , boll宽度 0.008316  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-26 01:09:00,空,补仓开空,10,88236.30,4.4118,0.00,"✅【第二套补仓逻辑】 ✅【空仓加仓 第2次】 📈 当前价格: 88236.3 💰 当前均价: 86319.40 📦 加仓数量: 10 📦 总持仓量: 30.000000000000004 🔻 当前亏损比例: 3.37% ⏰ 时间: 2025-03-26 01:09:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2035.60 boll45缩口 3241.17  ema15 87446.80 ema30 87221.17 ema60 86655.16 ema120 85835.19 boll20-up 88213.26 boll20-down86177.66 boll45-up 88792.45 boll45-dowm85551.28 atr 176.49 , boll宽度 0.005781  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-26 01:17:00,空,空单减仓,10,88102.20,4.4051,-182.69,"🔴【空单做T已正式启动-0】 💹 当前价格：88102.20 ✅ 已平第2层补仓 🎯 第2层开仓价：88236.3 📦 已平数量：10 张 💵 第2层盈利：134.10 点 ---------- 📊 剩余仓位数量：20.000000000000004 ⚖️ 当前均价：86319.40 🧮 剩余修正后均价：85360.95 ---------- 📉 当前均价盈利：-1782.80 点 📉 修正后均价盈利：-2741.25 点 ---------- 💰 本轮做T累计盈利：12.07 USDT 📉 已平仓累计亏损：180.06 USDT ---------- ⏰ 本轮做T次数：1 ⏰第六套做T逻辑标志:False ⏰ 平仓时间：2025-03-26 01:17:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2035.60 boll45缩口 3241.17  ema15 87446.80 ema30 87221.17 ema60 86655.16 ema120 85835.19 boll20-up 88213.26 boll20-down86177.66 boll45-up 88792.45 boll45-dowm85551.28 atr 177.71 , boll宽度 0.007020  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：85050.0，数量：10，盈利：-3052.20点  - 第1层（第2枪）：价格: 85671.90, 数量: 10.00 张,盈利：-2430.30点 "
2025-03-26 06:28:00,多,首次开多,10,87343.80,4.3672,0.00,"✅【首次开多】 📈 当前价格: 87343.8 💰 开仓均价: 87343.8 📦 开仓数量: 10 ⏰ 时间: 2025-03-26 06:28:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2286.61 boll45缩口 2434.43  ema15 87605.36 ema30 87381.72 ema60 86830.10 ema120 85992.15 boll20-up 88462.97 boll20-down86176.36 boll45-up 88628.24 boll45-dowm86193.81 atr 145.06 , boll宽度 0.009460  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-26 06:53:00,多,多单全平,10,87622.20,4.3811,23.46,"✅【平多已执行】 💰 持仓均价: 87343.8 ✂️ 平仓价格: 87622.2 📦 平仓数量: 10.0 📝 平仓原因: 获利180，1分钟放量｜单张盈利:278.40 ⏰ 时间: 2025-03-26 06:53:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2286.61 boll45缩口 2434.43  ema15 87605.36 ema30 87381.72 ema60 86830.10 ema120 85992.15 boll20-up 88462.97 boll20-down86176.36 boll45-up 88628.24 boll45-dowm86193.81 atr 161.74 , boll宽度 0.009659  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-26 20:24:00,多,首次开多,10,87693.10,4.3847,0.00,"✅【首次开多】 📈 当前价格: 87693.1 💰 开仓均价: 87693.1 📦 开仓数量: 10 ⏰ 时间: 2025-03-26 20:24:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1180.92 boll45缩口 2131.67  ema15 87792.85 ema30 87622.55 ema60 87173.89 ema120 86355.56 boll20-up 88344.68 boll20-down87163.76 boll45-up 88625.50 boll45-dowm86493.83 atr 114.35 , boll宽度 0.006943  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-26 22:23:00,多,补仓开多,10,86488.00,4.3244,0.00,"✅【第二套补仓逻辑】 ✅【多仓加仓 第1次】 📉 当前价格: 86488.0 💰 当前均价: 87090.55 📦 加仓数量: 10 📦 总持仓量: 20.0 🔻 当前亏损比例: 1.37% ⏰ 时间: 2025-03-26 22:23:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1639.79 boll45缩口 2124.39  ema15 87561.28 ema30 87520.59 ema60 87150.19 ema120 86370.35 boll20-up 88467.91 boll20-down86828.12 boll45-up 88557.69 boll45-dowm86433.30 atr 314.51 , boll宽度 0.018573  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
